CATEGORY,YEAR,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,TYPE,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,%,,,,,,,,,,,,,,,,,3.136044453,,,,,,,2.855084846,,,,,,,,,,,5.854055702,,,,,,,,,,,,,,,,,,5.097204536,,3.560186631,3.530108096,,,3.018972946,,,,,,,,,7.279174323,,,3.657829742,2.869654388,,,,2.973019104,,,2.654086394,,,,,,,,,,4.858302924,2.29946671,,,,,4.702849147,,2.0660266,,1.912981557,,,,,,,,7.531318001,,,,,,7.506883919,4.544806461,,,,,,,3.096565842,,,,,,,,,,,,,,,,3.559025967,,,,,,,5.587825116,,,,,,,,,,5.939272013,3.167407384,,,,5.464404327,,,,,,,,,,,,,,,6.114970619,3.932773654,,,,3.712019522,,,,,3.492105086,3.455692714,,,,,,,,,,,7.056653528,,,,,,,3.100479341,,2.877172795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,PPS/PPS,,,,,,,,,,,,,,,,,1.121429234,,,,,,,1.295532413,,,,,,,,,,,0.701781356,,,,,,,,,,,,,,,,,,,,,0.753725996,,,1.187964996,,,,,,,,,0.775876263,,,1.069150081,1.118515427,,,,1.424641695,,,0.837753521,,,,,,,,,,0.806510299,1.02327602,,,,,0.835082993,,1.049616889,,,,,,,,,,0.76856666,,,,,,0.711077041,0.693850928,,,,,,,1.107921867,,,,,,,,,,,,,,,,1.283475758,,,,,,,0.908544594,,,,,,,,,,1.013231354,0.902101139,,,,0.798637181,,,,,,,,,,,,,,,0.742473023,0.907443649,,,,1.041135986,,,,,1.0152258,1.056921615,,,,,,,,,,,,,,,,,,1.398635077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,PPS,,,,,,,,,,,,,,,,,21400,,,,,,,20400,,,,,,,,,,,4200,,,,,,,,,,,,,,,,,,8200,,13800,12300,,,21600,,,,,,,,,6800,,,17900,18600,,,,20100,,,13700,,,,,,,,,,8500,22300,,,,,18600,,19400,,21100,,,,,,,,5600,,,,,,6300,34900,,,,,,,13500,,,,,,,,,,,,,,,,20600,,,,,,,23900,,,,,,,,,,7600,12700,,,,4800,,,,,,,,,,,,,,,8300,12700,,,,15100,,,,,20100,25100,,,,,,,,,,,5300,,,,,,,19500,,26100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,GDP(1995),,,,,,,,,,,,,,,,,1.086294416,,,,,,,1.079365079,,,,,,,,,,,0.913043478,,,,,,,,,,,,,,,,,,1.223880597,,1.078125,1.098214286,,,1.119170984,,,,,,,,,1.283018868,,,1.132911392,1.094117647,,,,1.063492063,,,1.113821138,,,,,,,,,,1.133333333,1.143589744,,,,,1.223684211,,1.08988764,,1.098958333,,,,,,,,1.217391304,,,,,,1.211538462,1.070552147,,,,,,,1.030534351,,,,,,,,,,,,,,,,1.138121547,,,,,,,1.207070707,,,,,,,,,,1.206349206,1.123893805,,,,0.941176471,,,,,,,,,,,,,,,1.185714286,1.165137615,,,,1.126865672,,,,,1.098360656,1.096069869,,,,,,,,,,,1.204545455,,,,,,,1.153846154,,1.115384615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,PPS/PPS,,,,,,,,,,,,,,,,,1.018175234,,,,,,,1.328719118,,,,,,,,,,,0.891202381,,,,,,,,,,,,,,,,,,,,,0.817786179,,,1.366535185,,,,,,,,,0.838730882,,,1.138814525,1.044382796,,,,1.445091542,,,0.891911679,,,,,,,,,,0.705555294,0.782227354,,,,,1.018571505,,1.223101546,,,,,,,,,,0.883828571,,,,,,0.777893651,0.805411175,,,,,,,,,,,,,,,,,,,,,,,1.405596117,,,,,,,0.990140586,,,,,,,,,,0.965185526,0.778711024,,,,0.855983333,,,,,,,,,,,,,,,0.815326506,0.948598425,,,,1.145598675,,,,,0.960908458,1.09225259,,,,,,,,,,,,,,,,,,1.220342564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,%,,,,,,,,,,,,,,,,,3.136044453,,,,,,,2.855084846,,,,,,,,,,,5.854055702,,,,,,,,,,,,,,,,,,5.097204536,,3.560186631,3.530108096,,,3.018972946,,,,,,,,,7.279174323,,,3.657829742,2.869654388,,,,2.973019104,,,2.654086394,,,,,,,,,,4.858302924,2.29946671,,,,,4.702849147,,2.0660266,,1.912981557,,,,,,,,7.531318001,,,,,,7.506883919,4.544806461,,,,,,,3.096565842,,,,,,,,,,,,,,,,3.559025967,,,,,,,5.587825116,,,,,,,,,,5.939272013,3.167407384,,,,5.464404327,,,,,,,,,,,,,,,6.114970619,3.932773654,,,,3.712019522,,,,,3.492105086,3.455692714,,,,,,,,,,,7.056653528,,,,,,,3.100479341,,2.877172795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,PPS/PPS,,,,,,,,,,,,,,,,,1.121429234,,,,,,,1.295532413,,,,,,,,,,,0.701781356,,,,,,,,,,,,,,,,,,,,,0.753725996,,,1.187964996,,,,,,,,,0.775876263,,,1.069150081,1.118515427,,,,1.424641695,,,0.837753521,,,,,,,,,,0.806510299,1.02327602,,,,,0.835082993,,1.049616889,,,,,,,,,,0.76856666,,,,,,0.711077041,0.693850928,,,,,,,1.107921867,,,,,,,,,,,,,,,,1.283475758,,,,,,,0.908544594,,,,,,,,,,1.013231354,0.902101139,,,,0.798637181,,,,,,,,,,,,,,,0.742473023,0.907443649,,,,1.041135986,,,,,1.0152258,1.056921615,,,,,,,,,,,,,,,,,,1.398635077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,PPS,,,,,,,,,,,,,,,,,20700,,,,,,,19400,,,,,,,,,,,3900,,,,,,,,,,,,,,,,,,7600,,13300,12100,,,20400,,,,,,,,,5800,,,16300,17600,,,,19500,,,12900,,,,,,,,,,7900,20500,,,,,16700,,18600,,20200,,,,,,,,5000,,,,,,5700,34100,,,,,,,12600,,,,,,,,,,,,,,,,19200,,,,,,,22100,,,,,,,,,,6900,11900,,,,5100,,,,,,,,,,,,,,,7700,11700,,,,14200,,,,,19200,23700,,,,,,,,,,,4800,,,,,,,18100,,24700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,GDP(1995),,,,,,,,,,,,,,,,,1.050761421,,,,,,,1.026455026,,,,,,,,,,,0.847826087,,,,,,,,,,,,,,,,,,1.134328358,,1.0390625,1.080357143,,,1.056994819,,,,,,,,,1.094339623,,,1.03164557,1.035294118,,,,1.031746032,,,1.048780488,,,,,,,,,,1.053333333,1.051282051,,,,,1.098684211,,1.04494382,,1.052083333,,,,,,,,1.086956522,,,,,,1.096153846,1.04601227,,,,,,,0.961832061,,,,,,,,,,,,,,,,1.060773481,,,,,,,1.116161616,,,,,,,,,,1.095238095,1.053097345,,,,1,,,,,,,,,,,,,,,1.1,1.073394495,,,,1.059701493,,,,,1.049180328,1.034934498,,,,,,,,,,,1.090909091,,,,,,,1.071005917,,1.055555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,PPS/PPS,,,,,,,,,,,,,,,,,1.052406763,,,,,,,1.38797732,,,,,,,,,,,1.151651282,,,,,,,,,,,,,,,,,,,,,0.799109917,,,1.434422549,,,,,,,,,0.902039655,,,1.242053374,1.021825568,,,,1.499679487,,,0.918334884,,,,,,,,,,0.741106329,0.821880488,,,,,1.144041317,,1.224547849,,,,,,,,,,0.871082,,,,,,0.726561404,0.81076217,,,,,,,,,,,,,,,,,,,,,,,1.453815625,,,,,,,1.056719005,,,,,,,,,,1.002426087,0.806620168,,,,1.072505882,,,,,,,,,,,,,,,0.91414026,0.997205983,,,,1.193819014,,,,,1.002914583,1.161142194,,,,,,,,,,,,,,,,,,1.281080663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,%,,,,,,,,,,,,,,,,,3.136044453,,,,,,,2.855084846,,,,,,,,,,,5.854055702,,,,,,,,,,,,,,,,,,5.097204536,,3.560186631,3.530108096,,,3.018972946,,,,,,,,,7.279174323,,,3.657829742,2.869654388,,,,2.973019104,,,2.654086394,,,,,,,,,,4.858302924,2.29946671,,,,,4.702849147,,2.0660266,,1.912981557,,,,,,,,7.531318001,,,,,,7.506883919,4.544806461,,,,,,,3.096565842,,,,,,,,,,,,,,,,3.559025967,,,,,,,5.587825116,,,,,,,,,,5.939272013,3.167407384,,,,5.464404327,,,,,,,,,,,,,,,6.114970619,3.932773654,,,,3.712019522,,,,,3.492105086,3.455692714,,,,,,,,,,,7.056653528,,,,,,,3.100479341,,2.877172795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,PPS/PPS,,,,,,,,,,,,,,,,,1.121429234,,,,,,,1.295532413,,,,,,,,,,,0.701781356,,,,,,,,,,,,,,,,,,,,,0.753725996,,,1.187964996,,,,,,,,,0.775876263,,,1.069150081,1.118515427,,,,1.424641695,,,0.837753521,,,,,,,,,,0.806510299,1.02327602,,,,,0.835082993,,1.049616889,,,,,,,,,,0.76856666,,,,,,0.711077041,0.693850928,,,,,,,1.107921867,,,,,,,,,,,,,,,,1.283475758,,,,,,,0.908544594,,,,,,,,,,1.013231354,0.902101139,,,,0.798637181,,,,,,,,,,,,,,,0.742473023,0.907443649,,,,1.041135986,,,,,1.0152258,1.056921615,,,,,,,,,,,,,,,,,,1.398635077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,PPS,,,,,,,,,,,,,,,,,19700,,,,,,,18900,,,,,,,,,,,4600,,,,,,,,,,,,,,,,,,6700,,12800,11200,,,19300,,,,,,,,,5300,,,15800,17000,,,,18900,,,12300,,,,,,,,,,7500,19500,,,,,15200,,17800,,19200,,,,,,,,4600,,,,,,5200,32600,,,,,,,13100,,,,,,,,,,,,,,,,18100,,,,,,,19800,,,,,,,,,,6300,11300,,,,,,,,,,,,,,,,,,,7000,10900,,,,13400,,,,,18300,22900,,,,,,,,,,,4400,,,,,,,16900,,23400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,GDP(1995),,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,1,1,,,1,,,,,,,,,1,,,1,1,,,,1,,,1,,,,,,,,,,1,1,,,,,1,,1,,1,,,,,,,,1,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,1,1,,,,1,,,,,1,1,,,,,,,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,PPS/PPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.761725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,%,,,,,,,,,,,,,,,,,3.136044453,,,,,,,2.855084846,,,,,,,,,,,5.854055702,,,,,,,,,,,,,,,,,,5.097204536,,3.560186631,3.530108096,,,3.018972946,,,,,,,,,7.279174323,,,3.657829742,2.869654388,,,,2.973019104,,,2.654086394,,,,,,,,,,4.858302924,2.29946671,,,,,4.702849147,,2.0660266,,1.912981557,,,,,,,,7.531318001,,,,,,7.506883919,4.544806461,,,,,,,3.096565842,,,,,,,,,,,,,,,,3.559025967,,,,,,,5.587825116,,,,,,,,,,5.939272013,3.167407384,,,,5.464404327,,,,,,,,,,,,,,,6.114970619,3.932773654,,,,3.712019522,,,,,3.492105086,3.455692714,,,,,,,,,,,7.056653528,,,,,,,3.100479341,,2.877172795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,PPS/PPS,,,,,,,,,,,,,,,,,1.121429234,,,,,,,1.295532413,,,,,,,,,,,0.701781356,,,,,,,,,,,,,,,,,,,,,0.753725996,,,1.187964996,,,,,,,,,0.775876263,,,1.069150081,1.118515427,,,,1.424641695,,,0.837753521,,,,,,,,,,0.806510299,1.02327602,,,,,0.835082993,,1.049616889,,,,,,,,,,0.76856666,,,,,,0.711077041,0.693850928,,,,,,,1.107921867,,,,,,,,,,,,,,,,1.283475758,,,,,,,0.908544594,,,,,,,,,,1.013231354,0.902101139,,,,0.798637181,,,,,,,,,,,,,,,0.742473023,0.907443649,,,,1.041135986,,,,,1.0152258,1.056921615,,,,,,,,,,,,,,,,,,1.398635077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
